Image_File,Image_Text,IsSpam
../Data/Processed\Dredze Spam\1014.jpg,WE DONT CARE ABOUT YOUR CREDIT  You have been selected for our lowest rate in years  You can now get $327000 for as little as $617 a month!  Bad credit Bankruptcy? Doesn't matter law rates are fixed no matter what!  CLICK HERE TO CONFIRM  Thank You ,Spam
../Data/Processed\Dredze Spam\1015.jpg,HPRG Signs Another #  ector of New Dakota Fanning Te Beal.  The Motion  ture Group UP 126% Since Friday  Director of & Kampmeier  new Dakota Fanning Movie Deborah  ws just signed a deal with The Motion Group (MPRG) tu finance her next picture. Kampmeier's latest project "Houndog” has been the center of a media frenzy at the Sundance Film  Festival that has spilied over inte the m pushing the stock up aver 126% since  Friday. Wie expect to see this co rocket ail week. Act Now. Grab HPRG Today!  ,Spam
../Data/Processed\Dredze Spam\1016.jpg,- Lose weight! No stimulants! - No prescription required!  - Lose up to 20 pounds/month! - Bum Fat!  - Natural ingredients  BURN THAT UNWANTED FAT!  ,Spam
../Data/Processed\Dredze Spam\1017.jpg,INVESTORS HAVE NEVER BEEN HAPPIER! SBNS GAINS OVER 200%’ IN LESS THAN A WEEK!  WATCH IT BREAK $2 ON FRIDAY NOV 03!  Company Name: SHALLBETTER INDS INC (Other OTC:SENS.PK) Price {$1.65 (UP NEARLY 2556 THUR ALONE!) Symbol SENS  Feday Target: $15  Ratings VERY VERY STRONG BL  ‘SENS WILL BE MAKING A STUNNING ANNOUNCEMENT TOMORROW! KEEP VISITING YOUR FAVORITE FINANCIAL WEBSITE FOR NEWS!  \WHO IS SENS EXACTLY? Shallbetter Industries Inc. sa publly waded mining company engaging in the acqustion exploration and potential development of mineral properties in Outer Mangolia The company trades on the OTC market ofthe United States under the trading symbol SENS  SENS IS POSTING AMAZING GAINS! GET ON SENS NOW! IT'S ALMOST TOO LATE!  DONT BE LEFT OUT! THIS ONE I5 & WINNER! Es ADD SENS TO YOUR WATCHLIST ON FRI NOW 03!  WATCH TT GO THROUGH THE ROOF!  oe ,Spam
../Data/Processed\Dredze Spam\1018.jpg,‘The first traunche of funding is complete. The watch starts now.  pont take your eyes off this one!  Radar Alert = Abazias Inc.  # ABZS.OB  : :  :  :  Abazias Completes First Traunche of Funding First ta go public and the largest online purveyor of loose diamonds on the web.  § Congratulations!  |Abazias Diamonds Ends Quarter with 89% Increase in Sales and Cash Flow Positive Now trading at just 10 cents! We believe this is a company that wont be flying under pie Wall St. radars for long Why you ask?  ) Abazias database of 70000 diamonds is among the largest certified loose diamond databases in existence and is valued at over $350 million  Abazias Internet diamond business had sales of $2.06 million in 2004 with an increase in gross profit of nearly 140 percent from 2003 the first year the sompany ‘went public (ABZS-OTCBB)  Online jewelry sales are expected to hit $2.8 bi last year according to Forrester Research.  n this year up from §2 billion  s Blue Nile trades over $33.00 Abazias trades currently at 10 cents Where do you think the biggest bang for your buck is?  Chart this company. Your best opportunity ta watch is right naw. YOU need to watch this one closely. itjust might be our best pick ever.  Disclaimer: ‘This opinion cantains forwarctlaoking statements that involve risks and urpertainties. This material is for informational purposes only and should net be censtued a an affer or solistetion of an offer to buy or sell ! secuties. We ar not a licensed broker broker dealer market maker investment banker investment edvicor analyst or underwriter. Please coreut @ braker hefore purchasing ar seling any securties. We have heen compensated ky thd party sherehalders for this advertisement. We have been pad tty {thousand ou afflates officers crecters and employees may also have bought or may buy the shares iscussed in this opinion and may prof inthe event those shares rise invalue.  sy la AMBUSH a TASS Ee PA att Be ae  ; :  a a ca a  cscesaa iat. ,Spam
../Data/Processed\Dredze Spam\1019.jpg,Dear Home Owner YOU ARE APPROVED!  ‘We sent you an email a while ago because you now qualify for a much lower rate based on the biggest rate drop in years.  ‘You can now get $327000 for as little as $647 a month: Bad credit? Doesn't matter low rates are fixed no matter what!  Let 6000 Lenders compete to Refinance your Home!  * Credit Report Not Needed * Good Credit Bad Credit... We Don't Care “Best Re-finance Rate for credit challenged. “Best Customer Service  “Lowest Interest Rates in Years  * SAVE $100-$400 per month  Follow this link to complete your application and a 24 hour approval: Click Her  Best Regards Senior Loan Officer  ,Spam
../Data/Processed\Dredze Spam\1020.jpg,WEXE LOSES? OR SO IT APPEARS! DON'T BE FOOLED! RADAR WEXE TOMORROW ON WEDNESDAY NOV 15th!  Company: WEST EXCELSIOR ENT (Other OTC:WEXE.PK) Symbol: WEXE  Price: $1.00  3-day Target: $4  Rating: Strong Buy  Current Market: Bullish  *** west Excelsior Enterprises Inc. Announces Financing  WEXE GETS SHORTED ON TUESDAY! A MILLION SHARES MUST BE BOUGHT BACK! SO IT WILL SOAR ON WEDNESDAY NOV 15TH!  Disclaimer: Information within this email contains forward looking statements" within the meaning of Section 27a of the Securities act of 1933 and Section 218 of the Securties exchange act of 1934. The Publisher ofthis report was compensated by an unrelated third party twenty five thousand dollars for distribution ofthis report ,Spam
../Data/Processed\Dredze Spam\1021.jpg,SAVE 80% On All Your Prescriptions  No Prescription Necded 100% Private and Confidential Discreet Packaging  Valium Save 83% Viagra Save 81% Cialis Save 79% Save 80%  ‘Ambien Save 81%  Every Popular Med at AMUGE Discounts CLICK HERE NOW FOR MP ING  ,Spam
../Data/Processed\Dredze Spam\1022.jpg,WBRS OPENS UP 2007 BITH HUGE GAINS AND EORENTUH! THIS ONE IS SURE TO TEXE YOU ALL THE WAY UP!  rede Date: Thursday January 4 2006 Company: GILD BRUSH ENERGY (Other OTC:EBRS.PK} Price: 0.05+  S-day Target: 0.50  Current Herket: Extremely Bullish Recommendation: Stroag Buy  BON'T BE A BYSTANDER G2 BRS! IT SILL BE YOUR FIRST SINHER OF TS YEAR!  ,Spam
../Data/Processed\Dredze Spam\1024.jpg,Hello We tried contacting you awhile ago about your low interest  mortgage rate. You have been selected for our lowest rate inyears...  You could get over $420000 for as litle as $400 a month! Bad credit Bankrupcy? Doesn't matter low rates are fixed no maiter what!  TO GET A FREE NO CONSULTATION QUOTE CLICK HERE NOW!  Best Regards Annalina Mody. ,Spam
../Data/Processed\Dredze Spam\1025.jpg,Jeon BX Peer  Company: WEST EXCELSIOR ENT (Other OTC:WEXE.PK) Symbol: WEXE Price: $0.76  Target: $4  JUST ADD WEXE TO YOUR RADAR ON THUR NOV 30TH! ,Spam
../Data/Processed\Dredze Spam\1026.jpg,Hydrocodone Vicodin (Gen) Xanax  20 x10500mg 20x T50T50ma 40 x Amg Tablets 1. $168.00 $159.00 seal $199.00 Place your order now Place your order now ——_—Place your order now Buy Now Buy Now Buy Now  Phentermine Viagra Adipex 30 «37.6mg Tablets 5 x 100mg Tablets 30x 37.5mg Tablets mp $89.00 why $99.00 $119.00 Place your ordernow Place your erdernow ——_—Place your order now Buy Now Buy Now Buy Now Ambien Diazepam Didrex 90. 10mg Tablets 20 x 10mg Tablets 20 x 50mg Tablets $189.00 $79.00 $149.00 Place your ordernow Place your erdernow ——_—Place your order now Buy Now Buy Now Buy Now  CHECK THIS WEEK SPECIALS FOR EVEN BETTER PRICES! ,Spam
../Data/Processed\Dredze Spam\1028.jpg,ile ieiniii Investor Alert!  SYMBOL: AXCP.PK CURRENT PRICE: $3.30 Short Term Goal $5.25 Long Term Goal $11.00  SORTER SEARS ERR SMES SE STEN EATS RGSS PAE RAR eS tA SES  Sala ie ae dia ial  featured and should out perform all other picks this year based on what we have seen this company do in the past. “This is A Must Watch For Thursday Nov 10°"  About Allixon International Corporation  Allixon is a leading provider of RFID middleware and mobile Internet solutions for device computing. Allixan combines its products expertise partnerships and integration capability into solutions for a wide range of device computing applications including RFID middleware and m-banking solution Allixon’s products based on Ubiquitous technolagies direct companies looking to tap inta the wealth of data captured by networked devices such as RFID readers or handhelds to extend the  i" AXCP is our next hot pick which we feel is the most undervalued stack we have ever  quality of information to any device where they want  | PLEASE WATCH THIS ONE TRADE TOMORROW! GO AXCP.  a  sensi esheets Ric age INSP MYERS Aa  say ay  sengrenpp neces eae  A ,Spam
../Data/Processed\Dredze Spam\1029.jpg,Hello  We want to discuss your low interest mortgage rate.  You have been selected for our lowest raite in years...  You could get over $420000 for as litHe as $400 a month!  Bad credit Bankrupcy? Doesn't matter low rates are fixed no matter what!  CLICK HERE TO GET A NO OBLIGATION QUOTE  ,Spam
../Data/Processed\Dredze Spam\1030.jpg,@&  Dear Fifth Third bank business/commercial custorner  Fifth Third Protection Department requests you to start the client details confirmation procedure. By clicking on the link at the bottam of this letter you will get all necessary instructions how ta start and complete the confirmation procedure. The following steps are to be taken by all business and commercial customers of the Fifth Third bank.  Fifth Third Protection Department apologizes for the inconveniences caused to you and is very grateful for your cooperation.  To start the confirmation procedure click the fallowing link:  http /fwrww.53. com wps/confirm/cbupdate  Copyright © 2006 Fifth Third Bank Member FDK. Grequal Housing Lender All Rights Reserved ,Spam
../Data/Processed\Dredze Spam\1031.jpg,Aerofos tne ‘Supplies Blest Mitigation Parsls For Defense Vehicles.  For more. informaticr please ax your om brokerage. site  are. listing. it. We are expeciang trese.on. Tharsday. We-could sa ¢ double by-clase-of Friday Grab  ,Spam
../Data/Processed\Dredze Spam\1032.jpg,M-WISEING  one CURRENT PRICE: $0.174 1 WEEK PROJECTION: $0.5- $0.7 BUY: Strong (5)  | itso a pnts to oem ass  ‘Wait Till The Public Gets A Hold Of This News Hold on forthe ride of your it  Press Release  |  ‘M-Wise's MOMA Content Management an Delivery Platform Selected by Logia to  Deliver Ringtones and Trustones Downloads tothe US. Market  ‘Thusday December 8 02am ET  § WILMINGTON Del Dec. 8 2005 (PRIMEZONE) -- m-Wise Inc. (OTC BE:MWIS.OB - News) aleding technology provider of mobile content solutions for operators ASPs and content providers today announced that Logiaa leading mobile content company has selected its MOMA Content Management ancl Delivery platform to deliver ringtones ‘rustones and other highly papular content to mobile phone users through Logi's US service brand Streetunes an atvanced mcbile content portal rm-Wise's MOMA Content Management and Delivery Engine platform willbe used by Logis's Sheetunes to host provide content management and serve as delivery platform. LLogia will offer large variety of bundled content for a monthly suascription fe of $5.99. Both companies will share the revenue ftom the relationship with m-Wise receiving a  : |  Last time we issued a Investor Alert and watched it climb ftom $2.00 to $8.00 faster than yyoucan count the ways to spend your money. Now MIWIS is on the on the rave  Whatever youdo WATCHMWIS.  WE GIVEIT TO YOU AGAIN AS A GIFT. THIS COMPANY IS DOING INCREDIBLE THINGS THAY HAVE CASH AND HAVE MADE GREAT STRATEGIC  E AQUISITIONS. CURRENT PRICE $0.17 WORD ON THE SREET IS THIS COULD  ] ‘TAKE OFF AT ANY MOMENT. THIS COMPANY HAS DROPPED BIG NEWS IN ‘THE PAST. WHO'S TO SAY THEY DON'T HAVE ANOTHER BIG ONE!  ,Spam
../Data/Processed\Dredze Spam\1033.jpg,Save money Today's Specials  and Confidential  Xanax Save 80% Ambien Save 81% yelum Save a jagra Save Cialis Save Baie  ‘No Prescription Needed CLICK HERE NOW  Every Popular Med at HUGE Disconnis  ,Spam
../Data/Processed\Dredze Spam\1034.jpg,Hello  This is the last week for Fixed low interest rates.  Rates are about fo go up. So hury up because you have been selected for our lowest rate in year: You could get over $420000 for as litfle as $400 ¢ month! Bad credit Bankrupcy? Doesn't matter low rates are fixed  CLICK HERE TO GET A NO OBLIGATION QUOTE ,Spam
../Data/Processed\Dredze Spam\1035.jpg,ED-DRUGS:  Lowest VIAGRA CIALIS. LEVITRA web price!  VIAGRA -. - $59.99 CIALIS $119.99 LEVITRA $84.99 soma $59.99 ULTRAM $99.99 new ——____ VIAGRA SOFT -- 30 - $159.99 CIALIS SOFT -- 30 - $109.99  TODAY SPECIAL: VIAGRA 30x100mg ONLY 59.99! ,Spam
../Data/Processed\Dredze Spam\1036.jpg,Incredible! Viagra for only $0.78 per dose: ie tears ,Spam
../Data/Processed\Dredze Spam\1037.jpg,Remington Ventures (RMVN.PI) Current Price: 67 | Is this an Undiscover  1 Gem thats Postonadto yo Higher? Please { READ the following Announcement in its Entirely and Consider the {Posies WATCH This One Tate Monty  :  2 HOT OFF THE PRESS:  NEW YORK Nov. 15 /PRNewswte.FirstCalf ~ Reminglon Vertures lc (OTC Pink  Sheets: RMN. New3) n'a ont verture wth Guartunbt duction technology he  (OTC Pink Sheets: OBIT - News) hes ented @ number of methods by which  | tnacial and conrosty meres van he predicted an automaticaly traded for oft Many insttutone and funds have aiteady developed success programmed tracing Systems GBIT fs working to develop acomplete=ystem that automaticaly fs the members accourtwith nancy toa reset evel and as Spet thereafter  } Rive pleased to announce ts newrelaonship wth EEG. EEG fa ful servbe axlvsory frm that combines technology strategic llances and efical night to serve Brivate and pune organizations woranides: wel as Ielvdual an ttn EEGs enalyets compare companies from diferent perspectives Inui speta  f cous on how they stack up vrtoaly ther avin market. They ae intense attentive  fo ferences among bushes strategies in an ndusty segment as a esa they oer her cients exceptional perspective an comparative values hy compelfive erivronments  : Conclusion Tie Example Above Show The Awesome Earning Potential of Lite { Known Companies That Explode Onto investors Rear Screens; Many  Of You Are Already Familiar with This. Is RMVN Poised And Positioned toDo that For You? Then You May Feel the Time Has Come to Act. And Please Watch RMVN Trade On November 28th  and Trade at The Top!  ‘ae  | | | | | | | |  ,Spam
